match_number,round,group,first_team,second_team,pairing_probability,first_win_probability,draw_probability,second_win_probability,first_advancement_probability,second_advancement_probability,simulation_count
1,group,A,Mexico,South Africa,1.0,0.6369699535589504,0.2368245243603606,0.126205522080689,,,
2,group,A,South Korea,Czech Republic,1.0,0.3964866341840886,0.2240209047580446,0.3794924610578667,,,
3,group,B,Canada,Bosnia and Herzegovina,1.0,0.6160965895196778,0.2296488959421571,0.154254514538165,,,
4,group,D,United States,Paraguay,1.0,0.370426470909087,0.2272567587308844,0.4023167703600285,,,
5,group,C,Haiti,Scotland,1.0,0.2276983950460629,0.2218052070786745,0.5504963978752626,,,
6,group,D,Australia,Turkey,1.0,0.287373756041416,0.2259887948104445,0.4866374491481395,,,
7,group,C,Brazil,Morocco,1.0,0.4290504633173425,0.2226774406845632,0.3482720959980941,,,
8,group,B,Qatar,Switzerland,1.0,0.0582689277411368,0.2172149702366119,0.7245161020222514,,,
9,group,E,Ivory Coast,Ecuador,1.0,0.251846654439488,0.2428418845651493,0.5053114609953627,,,
10,group,E,Germany,Curaçao,1.0,0.7184399768937504,0.2165114992173719,0.0650485238888778,,,
11,group,F,Netherlands,Japan,1.0,0.3775464748529494,0.2253162309108918,0.3971372942361587,,,
12,group,F,Sweden,Tunisia,1.0,0.4534719945054051,0.2235042653736544,0.3230237401209405,,,
13,group,H,Saudi Arabia,Uruguay,1.0,0.1519138780592735,0.2397440058563146,0.6083421160844118,,,
14,group,H,Spain,Cape Verde,1.0,0.7428748782173153,0.2162432802229356,0.040881841559749,,,
15,group,G,Iran,New Zealand,1.0,0.6319004864373223,0.2196143066813067,0.148485206881371,,,
16,group,G,Belgium,Egypt,1.0,0.5926750853996979,0.2280067426025301,0.1793181719977719,,,
17,group,I,France,Senegal,1.0,0.5812567293625562,0.2264653133626326,0.1922779572748111,,,
18,group,I,Iraq,Norway,1.0,0.109119499202632,0.2212944832667155,0.6695860175306525,,,
19,group,J,Argentina,Algeria,1.0,0.6241450700404272,0.2349522351698482,0.1409026947897245,,,
20,group,J,Austria,Jordan,1.0,0.6184153997389195,0.2149994654527274,0.1665851348083531,,,
21,group,L,Ghana,Panama,1.0,0.2223749819550095,0.2236631609521609,0.5539618570928296,,,
22,group,L,England,Croatia,1.0,0.5111763127019009,0.2251706871114611,0.263653000186638,,,
23,group,K,Portugal,DR Congo,1.0,0.64040549621722,0.2334434496930375,0.1261510540897426,,,
24,group,K,Uzbekistan,Colombia,1.0,0.1562672708657131,0.2294978163460133,0.6142349127882735,,,
25,group,A,Czech Republic,South Africa,1.0,0.5671071769823857,0.2281047718814408,0.2047880511361735,,,
