match_number,round,first_team,second_team,pairing_probability,first_advancement_probability,second_advancement_probability,simulation_count,most_likely_advancing_team,most_likely_advancement_probability
73,round_of_32,South Korea,Canada,0.1025,0.464224153464603,0.535775846535397,205,Canada,0.535775846535397
73,round_of_32,South Korea,Switzerland,0.101,0.3753266834019272,0.6246733165980727,202,Switzerland,0.6246733165980727
73,round_of_32,Mexico,Canada,0.096,0.6088294512532392,0.3911705487467608,192,Mexico,0.6088294512532392
73,round_of_32,South Korea,Bosnia and Herzegovina,0.095,0.7555221285344624,0.2444778714655375,190,South Korea,0.7555221285344624
73,round_of_32,Mexico,Switzerland,0.0835,0.5169743915568549,0.4830256084431451,167,Mexico,0.5169743915568549
73,round_of_32,South Korea,Qatar,0.08,0.8739099313954157,0.1260900686045842,160,South Korea,0.8739099313954157
73,round_of_32,Mexico,Bosnia and Herzegovina,0.0685,0.8431218810827182,0.1568781189172817,137,Mexico,0.8431218810827182
73,round_of_32,Mexico,Qatar,0.061,0.9193068692229216,0.0806931307770782,122,Mexico,0.9193068692229216
73,round_of_32,Czech Republic,Canada,0.0605,0.4023507594094049,0.5976492405905951,121,Canada,0.5976492405905951
73,round_of_32,Czech Republic,Switzerland,0.0525,0.319659939553636,0.6803400604463641,105,Switzerland,0.6803400604463641
73,round_of_32,Czech Republic,Bosnia and Herzegovina,0.05,0.7070320179953374,0.2929679820046625,100,Czech Republic,0.7070320179953374
73,round_of_32,Czech Republic,Qatar,0.0355,0.8462314710303535,0.1537685289696465,71,Czech Republic,0.8462314710303535
73,round_of_32,South Africa,Switzerland,0.033,0.1614783724485035,0.8385216275514964,66,Switzerland,0.8385216275514964
73,round_of_32,South Africa,Canada,0.03,0.2063176863550135,0.7936823136449864,60,Canada,0.7936823136449864
73,round_of_32,South Africa,Bosnia and Herzegovina,0.029,0.4681967377689299,0.53180326223107,58,Bosnia and Herzegovina,0.53180326223107
73,round_of_32,South Africa,Qatar,0.022,0.6703769712082033,0.3296230287917967,44,South Africa,0.6703769712082033
74,round_of_32,Germany,Turkey,0.1055,0.6749367426531977,0.3250632573468023,211,Germany,0.6749367426531977
74,round_of_32,Ivory Coast,Turkey,0.084,0.4647815858978095,0.5352184141021905,168,Turkey,0.5352184141021905
74,round_of_32,Germany,Scotland,0.076,0.7555409884958941,0.2444590115041058,152,Germany,0.7555409884958941
74,round_of_32,Ivory Coast,Scotland,0.0755,0.563161672031212,0.4368383279687879,151,Ivory Coast,0.563161672031212
74,round_of_32,Ivory Coast,United States,0.0705,0.5178188590487883,0.4821811409512117,141,Ivory Coast,0.5178188590487883
74,round_of_32,Germany,United States,0.065,0.7218320505053278,0.2781679494946721,130,Germany,0.7218320505053278
74,round_of_32,Germany,Haiti,0.0565,0.8837624956925296,0.1162375043074703,113,Germany,0.8837624956925296
74,round_of_32,Germany,Brazil,0.054,0.4876162113063225,0.5123837886936775,108,Brazil,0.5123837886936775
74,round_of_32,Ivory Coast,Haiti,0.0525,0.7867870873423854,0.2132129126576145,105,Ivory Coast,0.7867870873423854
74,round_of_32,Ivory Coast,Brazil,0.052,0.2959018842559336,0.7040981157440664,104,Brazil,0.7040981157440664
74,round_of_32,Germany,Paraguay,0.045,0.7872708948538292,0.2127291051461708,90,Germany,0.7872708948538292
74,round_of_32,Ivory Coast,Paraguay,0.0375,0.598347667993163,0.401652332006837,75,Ivory Coast,0.598347667993163
74,round_of_32,Germany,Morocco,0.037,0.5211273502627868,0.4788726497372132,74,Germany,0.5211273502627868
74,round_of_32,Ivory Coast,Morocco,0.03,0.3205262957305357,0.6794737042694643,60,Morocco,0.6794737042694643
74,round_of_32,Germany,Australia,0.0235,0.6822081450214091,0.3177918549785908,47,Germany,0.6822081450214091
